No,IDStockSummary,Date,StockCode,StockName,Remarks,Previous,OpenPrice,FirstTrade,High,Low,Close,Change,Volume,Value,Frequency,IndexIndividual,Offer,OfferVolume,Bid,BidVolume,ListedShares,TradebleShares,WeightForIndex,ForeignSell,ForeignBuy,DelistingDate,NonRegularVolume,NonRegularValue,NonRegularFrequency,persen,percentage
1,3993313,2026-04-10T00:00:00,AADI,Adaro Andalan Indonesia Tbk.,--MO1SD0F10000A121------------,10200,10225,10250,10300,10075,10125,-75,8473400,85990287500,7923,182.4,10125,15700,10100,58000,7786891760,7786891760,1486517637,1466400,3330900,,487004,5008877300,7,,
2,3993314,2026-04-10T00:00:00,AALI,Astra Agro Lestari Tbk.,--MO113E100000D232------------,7800,7825,7825,7850,7800,7825,25,545200,4264690000,616,635.7,7825,2000,7800,88400,1924688333,1924688333,390711732,205600,239100,,0,0,0,,
3,3993315,2026-04-10T00:00:00,ABBA,Mahaka Media Tbk.,--U-4100000000E614-E---------X,43,0,0,44,43,44,1,191500,8234600,41,97.2,44,134700,43,153000,3935892857,3935892857,1298844643,0,0,,0,0,0,,
4,3993316,2026-04-10T00:00:00,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,2620,0,0,2460,2450,2460,-160,200,491000,2,561.6,2600,18800,2460,1200,620806680,620806680,81325675,0,0,,0,0,0,,
5,3993317,2026-04-10T00:00:00,ABMM,ABM Investama Tbk.,--MO1135000000A121------------,3080,3120,3100,3120,3060,3080,0,809800,2502480000,469,82.1,3090,103400,3080,4000,2753165000,2753165000,413800700,89600,346300,,0,0,0,,
6,3993318,2026-04-10T00:00:00,ACES,Aspirasi Hidup Indonesia Tbk.,--MO1835UK0000E743------------,350,350,350,358,348,356,6,38940400,13776989200,3302,434.1,358,708200,354,1227300,17120389700,17120389700,6846443841,18675400,15709500,,18,6264,1,,
7,3993319,2026-04-10T00:00:00,ACRO,Samcro Hyosung Adilestari Tbk.,--UO2100000000E413------------,75,75,74,76,74,75,0,2177300,162836200,399,69.4,75,70300,74,641200,3469345537,749273042,729950301,0,400,,0,0,0,,
8,3993320,2026-04-10T00:00:00,ACST,Acset Indonusa Tbk.,--U-4135000000J211-E---------X,88,0,0,90,89,90,2,1430400,128098200,167,6.6,91,260800,90,319400,17675160000,17675160000,1560716628,0,40000,,0,0,0,,
9,3993321,2026-04-10T00:00:00,ADCP,Adhi Commuter Properti Tbk.,--UO2135000000H111---L--------,50,50,50,50,50,50,0,378000,18900000,77,38.5,50,5383300,0,0,22222222200,22222222200,2222222220,0,0,,0,0,0,,
10,3993322,2026-04-10T00:00:00,ADES,Akasha Wira International Tbk.,--UO2135000000D212------------,16350,0,0,16800,16400,16750,400,34800,574820000,47,870.1,16775,500,16750,400,589896800,589896800,50318197,0,300,,0,0,0,,
